City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,summerside,46.1681,-63.972,38,82,100,2.59,ca,1682651390
350,ad-damazin,11.1308,35.4214,76,68,97,1.13,sd,1682651390
351,woolgoolga,-30.8576,155.0169,71,57,70,5.52,au,1682651390
352,orapa,-21.7628,25.2663,66,50,2,3.32,bw,1682651390
353,mejit,11.9694,172.7236,80,82,60,8.99,mh,1682651391
354,namdrik,4.6459,166.7318,84,74,87,6.24,mh,1682651391
355,manaure,13.5945,-73.1262,80,79,9,8.07,co,1682651391
356,launceston,-41.847,147.5787,57,77,89,7.26,au,1682651391
357,smithers,55.4932,-127.7234,44,91,98,1.33,ca,1682651392
358,inhambane,-22.966,37.8824,76,70,2,6.6,mz,1682651392
359,n'diareme limamoulaye,16.7099,-18.942,70,85,2,8.84,sn,1682651392
360,uttarkashi,31.4416,78.6364,28,55,40,1.33,in,1682651392
361,tamazunchale,20.9789,-99.0273,75,93,78,1.51,mx,1682651392
362,konstantinovskiy,57.9821,39.8498,45,93,45,3.46,ru,1682651393
363,san luis de la loma,8.9471,-105.4595,84,72,4,2.4,mx,1682651393
364,vredendal,-32.4015,18.7042,52,95,0,0.55,za,1682651393
365,bakchar,56.7765,81.8921,62,51,96,4.7,ru,1682651394
366,pandan,18.1014,131.1456,83,81,10,7.14,ph,1682651394
367,camalu,29.7006,-118.652,58,86,53,5.0,mx,1682651394
368,taoudenni,24.0452,-6.2098,82,8,0,3.19,ml,1682651394
369,alvand,36.6098,49.0744,51,48,100,0.71,ir,1682651394
370,colonia,13.661,139.4145,83,78,0,9.98,fm,1682651395
371,souk ahras,36.4564,8.0759,48,55,51,2.41,dz,1682651395
372,rahachow,53.4027,29.929,34,88,5,2.93,by,1682651395
373,twon-brass,2.3727,4.1211,83,72,100,2.48,ng,1682651395
374,ubinskoye,55.436,79.5159,64,36,100,7.01,ru,1682651396
375,motygino,59.509,94.2293,34,96,100,1.99,ru,1682651396
376,augusto correa,0.3089,-46.3002,79,80,100,2.56,br,1682651396
377,nelson bay,-38.0103,158.2514,66,72,0,9.16,au,1682651397
378,vilyuysk,65.1137,120.8494,32,99,99,3.02,ru,1682651397
379,minas de matahambre,25.3122,-86.4217,79,86,54,7.96,cu,1682651397
380,hadibu,14.6561,53.5649,84,78,47,4.24,ye,1682651397
381,plastun,45.4242,137.1821,47,66,97,2.9,ru,1682651397
382,wuhai,39.5015,108.2216,37,43,65,19.36,cn,1682651397
383,cuajinicuilapa,15.5108,-98.6753,82,66,0,4.54,mx,1682651398
384,medeiros neto,-17.4933,-40.0235,71,87,0,3.92,br,1682651398
385,paka,5.7829,106.5619,84,76,63,3.97,my,1682651398
386,ancud,-43.1326,-96.7096,52,78,100,14.09,cl,1682651398
